time,tank1_depth,pipe1_depth,pipe2_depth,pipe3_depth,pipe4_depth,tank2_inflow,tank2_depth,pump1_flow,pump2_flow,tank_area,simulation_time
0.0,3.1346868546219433,3.0480000000000003e-05,3.0480000000000003e-05,3.0480000000000003e-05,3.0480000000000003e-05,0.0,1.1,0.0,0.0,29.9432,11.0
1.0,5.24,1.511701708782277,3.0480000000000003e-05,3.0480000000000003e-05,3.0480000000000003e-05,0.0,1.1,1.0,0.0,29.9432,21.0
2.0,5.24,1.3526527678113036,0.0005450058459764005,3.0480000000000003e-05,3.0480000000000003e-05,0.0,1.1,1.0,0.0,29.9432,25.0
3.0,5.24,0.9588399457282343,0.0005473503663590136,3.0480000000000003e-05,3.0480000000000003e-05,0.0,1.1,1.0,0.0,29.9432,26.0
4.0,5.24,0.9331443038389465,0.0006287543283052813,3.0480000000000003e-05,3.0480000000000003e-05,0.0,1.1,1.0,0.0,29.9432,27.0
5.0,5.24,1.1050467492820875,0.0007043973541832909,3.0480000000000003e-05,3.0480000000000003e-05,0.0,1.1,1.0,0.0,29.9432,28.0
6.0,5.24,1.2320964762239182,0.0008712753680383748,3.0480000000000003e-05,3.0480000000000003e-05,0.0,1.1,1.0,0.0,29.9432,30.0
7.0,5.24,1.0792937948898773,0.001055747046130411,3.0480000000000003e-05,3.0480000000000003e-05,0.0,1.1,1.0,0.0,29.9432,31.0
8.0,5.24,0.9771952460168438,0.0013064416314066826,3.0480000000000003e-05,3.0480000000000003e-05,0.0,1.1,1.0,0.0,29.9432,33.0
9.0,5.24,0.9326906732706036,0.0016627329405277844,3.0480000000000003e-05,3.0480000000000003e-05,0.0,1.1,1.0,0.0,29.9432,35.0
10.0,5.24,0.8824780931413371,0.002128359614426733,3.0480000000000003e-05,3.0480000000000003e-05,0.0,1.1,1.0,0.0,29.9432,37.0
11.0,5.24,0.8249949309500879,0.0026995463482120505,3.0480000000000003e-05,3.0480000000000003e-05,0.0,1.1,1.0,0.0,29.9432,38.0
12.0,5.24,0.803862711545786,0.003400018398400753,3.0480000000000003e-05,3.0480000000000003e-05,0.0,1.1,1.0,0.0,29.9432,40.0
13.0,5.24,0.8058878211320927,0.0042740663015344805,3.0480000000000003e-05,3.0480000000000003e-05,0.0,1.1,1.0,0.0,29.9432,42.0
14.0,5.24,0.8213049427764725,0.00533919837661773,3.0480000000000003e-05,3.0480000000000003e-05,0.0,1.1,1.0,0.0,29.9432,44.0
15.0,5.24,0.8319513354677156,0.006589486535138321,3.0480000000000003e-05,3.0480000000000003e-05,0.0,1.1,1.0,0.0,29.9432,46.0
16.0,5.24,0.8315732918845463,0.00804138373606823,3.0480000000000003e-05,3.0480000000000003e-05,0.0,1.1,1.0,0.0,29.9432,48.0
17.0,5.24,0.8273008054113974,0.009729181939134742,3.0480000000000003e-05,3.0480000000000003e-05,0.0,1.1,1.0,0.0,29.9432,50.0
18.0,5.24,0.8269461807087767,0.011674042796019713,3.0480000000000003e-05,3.0480000000000003e-05,0.0,1.1,1.0,0.0,29.9432,51.0
19.0,5.24,0.82702270345382,0.013887851499699417,3.0480000000000003e-05,3.0480000000000003e-05,0.0,1.1,1.0,0.0,29.9432,53.0
20.0,5.24,0.8218291238378703,0.01641137940673739,3.0480000000000003e-05,3.0480000000000003e-05,0.0,1.1,1.0,0.0,29.9432,55.0
21.0,5.24,0.8128753301894289,0.019302696325296975,3.0480000000000003e-05,3.0480000000000003e-05,0.0,1.1,1.0,0.0,29.9432,57.0
22.0,5.24,0.8040816798925038,0.022615475100077557,3.0480000000000003e-05,3.0480000000000003e-05,0.0,1.1,1.0,0.0,29.9432,59.0
23.0,5.24,0.7951147511127421,0.02636717553630566,3.0480000000000003e-05,3.0480000000000003e-05,0.0,1.1,1.0,0.0,29.9432,61.0
24.0,5.24,0.7834791612557059,0.030599303549231953,3.0480000000000003e-05,3.0480000000000003e-05,0.0,1.1,1.0,0.0,29.9432,63.0
25.0,5.24,0.7689704300051954,0.03536683042258259,3.0480000000000003e-05,3.0480000000000003e-05,0.0,1.1,1.0,0.0,29.9432,65.0
26.0,5.24,0.7531773429016917,0.04076410327591708,3.0480000000000003e-05,3.0480000000000003e-05,0.0,1.1,1.0,0.0,29.9432,67.0
