time,tank1_depth,pipe1_depth,pipe2_depth,pipe3_depth,pipe4_depth,tank2_inflow,tank2_depth,pump1_flow,pump2_flow,tank_area,simulation_time
0,5.24,3.0480000000000003e-05,3.0480000000000003e-05,3.0480000000000003e-05,3.0480000000000003e-05,0.0,0.0,0.0,0.0,10.011,2019-12-05 00:01:01
1,5.24,1.6,1.6,3.0480000000000003e-05,3.0480000000000003e-05,0.0,0.0,1.0,0.0,10.011,2019-12-05 00:02:01
2,5.24,1.6,1.5817738550061606,0.004894112203782233,3.0480000000000003e-05,0.0,0.0,1.0,0.0,10.011,2019-12-05 00:02:12
3,5.24,1.6,1.4644691182793013,0.013563240523401882,3.0480000000000003e-05,0.0,0.0,1.0,0.0,10.011,2019-12-05 00:02:17
4,5.24,1.6,1.3781201428257366,0.04256808835786448,3.0480000000000003e-05,0.0,0.0,1.0,0.0,10.011,2019-12-05 00:02:26
5,5.24,1.6,1.294785039900764,0.11210924366271968,3.0480000000000003e-05,0.0,0.0,1.0,0.0,10.011,2019-12-05 00:02:35
6,5.24,1.5780251206076052,1.230348720939828,0.24023139367095286,3.0480000000000003e-05,0.0,0.0,1.0,0.0,10.011,2019-12-05 00:02:45
7,5.24,1.5460723748710683,1.2139709175793174,0.29835014682452315,3.0480000000000003e-05,0.0,0.0,1.0,0.0,10.011,2019-12-05 00:02:49
8,5.24,1.4147359046423185,1.2065344643440175,0.3389341999770993,3.0480000000000003e-05,0.0,0.0,1.0,0.0,10.011,2019-12-05 00:02:51
9,5.24,1.4961883879295463,1.19481277578475,0.416805110841861,3.0480000000000003e-05,0.0,0.0,1.0,0.0,10.011,2019-12-05 00:02:55
10,5.24,1.4912145529152876,1.1975526551680538,0.518875822325116,3.0480000000000003e-05,0.0,0.0,1.0,0.0,10.011,2019-12-05 00:03:00
11,5.24,1.5042368381622089,1.2022764312618675,0.6182344029049958,3.0480000000000003e-05,0.0,0.0,1.0,0.0,10.011,2019-12-05 00:03:05
12,5.24,1.4088820839028728,1.2087654139476829,0.7033427732124377,3.0480000000000003e-05,0.0,0.0,1.0,0.0,10.011,2019-12-05 00:03:09
13,5.24,1.2552034611007297,1.2153070120442249,0.7621886954719641,3.0480000000000003e-05,0.0,0.0,1.0,0.0,10.011,2019-12-05 00:03:12
14,5.24,1.2668515725580929,1.2185406817659712,0.7847315297697218,3.0480000000000003e-05,0.0,0.0,1.0,0.0,10.011,2019-12-05 00:03:13
15,5.24,1.2457151662787127,1.2232040586625068,0.8132199172081975,3.0480000000000003e-05,0.0,0.0,1.0,0.0,10.011,2019-12-05 00:03:14
16,5.24,1.2226017620186875,1.2263030392339171,0.8309972167777165,3.0480000000000003e-05,0.0,0.0,1.0,0.0,10.011,2019-12-05 00:03:15
17,5.24,1.2036374092568665,1.229691688935731,0.8496214960706165,3.0480000000000003e-05,0.0,0.0,1.0,0.0,10.011,2019-12-05 00:03:17
18,5.24,1.1913796319727745,1.2350172295753732,0.8782752245701682,3.0480000000000003e-05,0.0,0.0,1.0,0.0,10.011,2019-12-05 00:03:18
19,5.24,1.1805577763319246,1.239858046381832,0.9045782172024639,3.0480000000000003e-05,0.0,0.0,1.0,0.0,10.011,2019-12-05 00:03:20
20,5.24,1.165178359187801,1.2446543696274561,0.9309985366826938,3.0480000000000003e-05,0.0,0.0,1.0,0.0,10.011,2019-12-05 00:03:22
21,5.24,1.1526156478792209,1.249133053371782,0.9563708707527712,3.0480000000000003e-05,0.0,0.0,1.0,0.0,10.011,2019-12-05 00:03:23
22,5.24,1.1422070449482111,1.2531396563107078,0.9799180043496123,3.0480000000000003e-05,0.0,0.0,1.0,0.0,10.011,2019-12-05 00:03:25
23,5.24,1.131438773765039,1.2568145296942212,1.0027094032170019,3.0480000000000003e-05,0.0,0.0,1.0,0.0,10.011,2019-12-05 00:03:27
24,5.24,1.1196188990079936,1.259983049933525,1.0239098939502347,3.0480000000000003e-05,0.0,0.0,1.0,0.0,10.011,2019-12-05 00:03:28
25,5.24,1.1082188484592352,1.261197755621408,1.0436682493863911,3.0480000000000003e-05,0.0,0.0,1.0,0.0,10.011,2019-12-05 00:03:30
26,5.24,1.0964884970484547,1.2589484716310353,1.062500912825446,3.0480000000000003e-05,0.0,0.0,1.0,0.0,10.011,2019-12-05 00:03:32
27,5.24,1.0831766777176346,1.256264466629506,1.0801674231526104,3.0480000000000003e-05,0.0,0.0,1.0,0.0,10.011,2019-12-05 00:03:33
28,5.24,1.069136461103823,1.2533444377581142,1.0964266192410788,3.0480000000000003e-05,0.0,0.0,1.0,0.0,10.011,2019-12-05 00:03:35
29,5.24,1.0547795499347739,1.2501370570690946,1.1115570829861599,3.0480000000000003e-05,0.0,0.0,1.0,0.0,10.011,2019-12-05 00:03:37
30,5.24,1.0394235045286724,1.246617778208512,1.1255444892702209,3.0480000000000003e-05,0.0,0.0,1.0,0.0,10.011,2019-12-05 00:03:38
31,5.24,1.0232062640128174,1.2428007855512933,1.1381817709082112,3.0480000000000003e-05,0.0,0.0,1.0,0.0,10.011,2019-12-05 00:03:40
32,5.24,1.0067767986277194,1.2386827003637881,1.1494498743080754,3.0480000000000003e-05,0.0,0.0,1.0,0.0,10.011,2019-12-05 00:03:42
33,5.24,0.9900936085580688,1.2342641485218375,1.1593493449148689,3.0480000000000003e-05,0.0,0.0,1.0,0.0,10.011,2019-12-05 00:03:43
34,5.24,0.9730251414161778,1.2295528756658378,1.1680019834518356,3.0480000000000003e-05,0.0,0.0,1.0,0.0,10.011,2019-12-05 00:03:45
35,5.24,0.9559135264355932,1.2245336002332863,1.1753310230755227,3.0480000000000003e-05,0.0,0.0,1.0,0.0,10.011,2019-12-05 00:03:47
36,5.24,0.9390456701496229,1.2191843887865872,1.1810425613099047,3.0480000000000003e-05,0.0,0.0,1.0,0.0,10.011,2019-12-05 00:03:49
37,5.24,0.9224139099289383,1.213524192070147,1.1851456127365023,3.0480000000000003e-05,0.0,0.0,1.0,0.0,10.011,2019-12-05 00:03:51
38,5.24,0.9062136513947965,1.207528611090248,1.187718201627095,3.424348421999496e-05,0.0,0.0,1.0,0.0,10.011,2019-12-05 00:03:53
39,5.24,0.890456481248092,1.201201282870121,1.1888413341570432,4.063832975138978e-05,0.0,0.0,1.0,0.0,10.011,2019-12-05 00:03:54
40,5.24,0.8762815995584823,1.1945510173320142,1.1886190392961133,4.857567339254309e-05,0.0,0.0,1.0,0.0,10.011,2019-12-05 00:03:56
41,5.24,0.8647291674607294,1.187613867704169,1.1871818878763385,5.8530172969820166e-05,0.0,0.0,1.0,0.0,10.011,2019-12-05 00:03:58
42,5.24,0.8534091306093635,1.1803627150809648,1.18465598908747,7.094654413021465e-05,0.0,0.0,1.0,0.0,10.011,2019-12-05 00:04:00
43,5.24,0.8423873546075594,1.1728751683372056,1.1811925062735467,8.667891392431635e-05,0.0,0.0,1.0,0.0,10.011,2019-12-05 00:04:02
44,5.24,0.8320015997725239,1.16516429355007,1.1769132078055449,0.00010729448761649394,0.0,0.0,1.0,0.0,10.011,2019-12-05 00:04:04
45,5.24,0.8221553481698334,1.157233549865085,1.171956929837962,0.00013522957806326517,0.0,0.0,1.0,0.0,10.011,2019-12-05 00:04:06
46,5.24,0.8125835314758076,1.14910850957082,1.1664754190861029,0.00017415841728411082,0.0,0.0,1.0,0.0,10.011,2019-12-05 00:04:08
47,5.24,0.8032674244866941,1.1408202544459034,1.1606251342666078,0.00022987663822397162,0.0,0.0,1.0,0.0,10.011,2019-12-05 00:04:09
48,5.24,0.7943272640412467,1.1323830894363445,1.1574629644511385,0.00031188523881758704,0.0,0.0,1.0,0.0,10.011,2019-12-05 00:04:11
49,5.24,0.7857575768755651,1.1238097107934697,1.1536774081213026,0.00043944922557482684,0.0,0.0,1.0,0.0,10.011,2019-12-05 00:04:13
50,5.24,0.7774380940666243,1.115120276920827,1.1496656023144693,0.0006435499441362091,0.0,0.0,1.0,0.0,10.011,2019-12-05 00:04:15
51,5.24,0.7693057643555509,1.1063407853094325,1.148500087327724,0.0009689325962288702,0.0,0.0,1.0,0.0,10.011,2019-12-05 00:04:17
52,5.24,0.7613816397206051,1.0974912323144486,1.1472694874620926,0.0013523387609577424,0.0,0.0,1.0,0.0,10.011,2019-12-05 00:04:19
53,5.24,0.753679791168558,1.0885891431578778,1.1457615348995178,0.0018406576797501662,0.0,0.0,1.0,0.0,10.011,2019-12-05 00:04:21
54,5.24,0.7461517218008736,1.0796411293073873,1.1440046494419558,0.00248594075435193,0.0,0.0,1.0,0.0,10.011,2019-12-05 00:04:23
55,5.24,0.7387560838974164,1.0706721226684026,1.1420288835201944,0.0033584168144563725,0.0,0.0,1.0,0.0,10.011,2019-12-05 00:04:25
56,5.24,0.7314753722029493,1.0616961568437617,1.1398609697298778,0.004558438729062062,0.0,0.0,1.0,0.0,10.011,2019-12-05 00:04:26
57,5.24,0.7243085004245426,1.0527366297044818,1.137523854053751,0.006230381165191493,0.0,0.0,1.0,0.0,10.011,2019-12-05 00:04:28
58,5.24,0.7172456162207513,1.0439247491868395,1.1350388519339136,0.008554120615346777,0.0,0.0,1.0,0.0,10.011,2019-12-05 00:04:30
59,5.24,0.7102661930136681,1.0352999831098724,1.1324253091362049,0.011727016447622895,0.0,0.0,1.0,0.0,10.011,2019-12-05 00:04:32
60,5.24,0.7033521723290095,1.0268580637199582,1.1296973706363498,0.016027572307245337,0.0,0.0,1.0,0.0,10.011,2019-12-05 00:04:34
61,5.24,0.6964948199817065,1.0185937931114573,1.1268683788629141,0.021895954181771576,0.0,0.0,1.0,0.0,10.011,2019-12-05 00:04:36
62,5.24,0.6896937548009598,1.0105020581230655,1.123985485319754,0.029948532178527693,0.0,0.0,1.0,0.0,10.011,2019-12-05 00:04:38
63,5.24,0.6829464855543246,1.002575598806862,1.1211001441279416,0.04072952382930836,0.0,0.0,1.0,0.0,10.011,2019-12-05 00:04:40
64,5.24,0.6762488758216112,0.9948129595558366,1.1181842323287545,0.055040605154857966,0.0,0.0,1.0,0.0,10.011,2019-12-05 00:04:42
65,5.24,0.6696018071838277,0.9872147796732645,1.115243001003315,0.07328286809287332,0.0,0.0,1.0,0.0,10.011,2019-12-05 00:04:44
