time,tank1_depth,pipe1_depth,pipe2_depth,pipe3_depth,pipe4_depth,tank2_inflow,tank2_depth,pump1_flow,pump2_flow,tank_area,simulation_time
0.0,3.1346868546219433,3.0480000000000003e-05,3.0480000000000003e-05,3.0480000000000003e-05,3.0480000000000003e-05,0.0,1.1,0.0,0.0,29.9432,11.0
1.0,5.24,0.9753383018455367,3.0480000000000003e-05,3.0480000000000003e-05,3.0480000000000003e-05,0.0,1.1,1.0,0.0,29.9432,21.0
2.0,5.24,0.8056597063708038,0.0005450058459764005,3.0480000000000003e-05,3.0480000000000003e-05,0.0,1.1,1.0,0.0,29.9432,25.0
3.0,5.24,0.8927322103850274,0.0005473503663590136,3.0480000000000003e-05,3.0480000000000003e-05,0.0,1.1,1.0,0.0,29.9432,26.0
4.0,5.24,0.8862811116615351,0.0006287543283052813,3.0480000000000003e-05,3.0480000000000003e-05,0.0,1.1,1.0,0.0,29.9432,27.0
5.0,5.24,0.8601926450411793,0.0007043973541832909,3.0480000000000003e-05,3.0480000000000003e-05,0.0,1.1,1.0,0.0,29.9432,28.0
6.0,5.24,0.8367834491395459,0.0008712753680383748,3.0480000000000003e-05,3.0480000000000003e-05,0.0,1.1,1.0,0.0,29.9432,30.0
7.0,5.24,0.8368005728808825,0.001055747046130411,3.0480000000000003e-05,3.0480000000000003e-05,0.0,1.1,1.0,0.0,29.9432,31.0
8.0,5.24,0.8280609771708541,0.0013064416314066826,3.0480000000000003e-05,3.0480000000000003e-05,0.0,1.1,1.0,0.0,29.9432,33.0
9.0,5.24,0.8066372045037848,0.0016627329405277844,3.0480000000000003e-05,3.0480000000000003e-05,0.0,1.1,1.0,0.0,29.9432,35.0
10.0,5.24,0.7843994489924923,0.002128359614426733,3.0480000000000003e-05,3.0480000000000003e-05,0.0,1.1,1.0,0.0,29.9432,37.0
11.0,5.24,0.7692534571989573,0.0026995463482120505,3.0480000000000003e-05,3.0480000000000003e-05,0.0,1.1,1.0,0.0,29.9432,38.0
12.0,5.24,0.7717800984920693,0.003400018398400753,3.0480000000000003e-05,3.0480000000000003e-05,0.0,1.1,1.0,0.0,29.9432,40.0
13.0,5.24,0.7698458798420459,0.0042740663015344805,3.0480000000000003e-05,3.0480000000000003e-05,0.0,1.1,1.0,0.0,29.9432,42.0
14.0,5.24,0.764961481144271,0.00533919837661773,3.0480000000000003e-05,3.0480000000000003e-05,0.0,1.1,1.0,0.0,29.9432,44.0
